epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,569.261,0.72918,1.57637,0.50685,0.42547,0.415,0.35079,0.23555,0.46972,0.9289,0.41108,0.000332986,0.000332986,0.000332986
2,1123.74,0.52663,0.79548,0.32766,0.45103,0.46023,0.40241,0.27657,0.47597,0.83541,0.41806,0.000633336,0.000633336,0.000633336
3,1695.35,0.50517,0.76733,0.30927,0.46964,0.47542,0.42306,0.28231,0.45406,0.85068,0.39246,0.000900687,0.000900687,0.000900687
4,2248.22,0.49418,0.74409,0.30732,0.50211,0.4838,0.43438,0.28986,0.46263,0.82467,0.41325,0.0008515,0.0008515,0.0008515
5,2798.14,0.48241,0.7189,0.29261,0.47742,0.49077,0.44187,0.29974,0.45318,0.82631,0.38457,0.000802,0.000802,0.000802
6,3354.8,0.46565,0.70323,0.2805,0.50064,0.49249,0.45684,0.31147,0.44317,0.8091,0.38439,0.0007525,0.0007525,0.0007525
7,3907.84,0.45516,0.68163,0.27525,0.47717,0.54826,0.48277,0.32387,0.45159,0.76229,0.40168,0.000703,0.000703,0.000703
8,4460.99,0.4448,0.66326,0.26398,0.49634,0.51031,0.46706,0.31439,0.45446,0.78583,0.38736,0.0006535,0.0006535,0.0006535
9,5014.96,0.43226,0.65185,0.2605,0.51111,0.5278,0.47596,0.31959,0.45255,0.77409,0.40379,0.000604,0.000604,0.000604
10,5563.93,0.43075,0.64515,0.25491,0.55255,0.51332,0.49025,0.32633,0.45391,0.75854,0.39825,0.0005545,0.0005545,0.0005545
11,6115.94,0.41912,0.64118,0.28354,0.50608,0.54309,0.49277,0.3362,0.44586,0.74967,0.38407,0.000505,0.000505,0.000505
12,6662.93,0.40096,0.61383,0.27023,0.55755,0.52391,0.50204,0.34262,0.44979,0.74793,0.40355,0.0004555,0.0004555,0.0004555
13,7209.88,0.39555,0.59774,0.2638,0.53135,0.55973,0.5119,0.34873,0.45428,0.74301,0.4046,0.000406,0.000406,0.000406
14,7757.75,0.38874,0.57578,0.26062,0.51318,0.50652,0.47576,0.31602,0.4519,0.78941,0.40884,0.0003565,0.0003565,0.0003565
15,8304.89,0.37808,0.56256,0.25126,0.54432,0.5377,0.50698,0.34692,0.45774,0.73029,0.41167,0.000307,0.000307,0.000307
16,8844.79,0.37135,0.54049,0.24239,0.54487,0.55038,0.51178,0.34732,0.46354,0.73898,0.43161,0.0002575,0.0002575,0.0002575
17,9387.86,0.35971,0.52964,0.23089,0.51228,0.54219,0.4866,0.32706,0.47302,0.73843,0.44202,0.000208,0.000208,0.000208
18,9932.94,0.3491,0.50265,0.22151,0.53822,0.52735,0.49317,0.33213,0.4749,0.7578,0.44632,0.0001585,0.0001585,0.0001585
19,10480.1,0.34232,0.48759,0.21778,0.52971,0.56553,0.50378,0.34037,0.48153,0.75397,0.46267,0.000109,0.000109,0.000109
20,11029.1,0.33428,0.46904,0.21119,0.53072,0.54617,0.49386,0.3337,0.47784,0.77068,0.45508,5.95e-05,5.95e-05,5.95e-05
